GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.40
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.40
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.40
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.41
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.42
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.42
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.42
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.43
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.43
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.43
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.49
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.49
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.49
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000151.5
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000151.5
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000151.50
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000151.50
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.50
GO:0035091,Molecular Function,phosphatidylinositol binding,evm.model.tig082700000151.50
GO:0008746,Molecular Function,NAD(P)+ transhydrogenase activity,evm.model.tig082700000151.51
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000151.51
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000151.52
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000151.52
GO:0071164,Molecular Function,RNA trimethylguanosine synthase activity,evm.model.tig082700000151.52
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000151.53
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.54
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.57
GO:0004197,Molecular Function,cysteine-type endopeptidase activity,evm.model.tig082700000151.59
GO:0004843,Molecular Function,cysteine-type deubiquitinase activity,evm.model.tig082700000151.59
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000151.59
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000151.59
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.59
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000151.60
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000151.61
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000151.61
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000151.62
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000151.62
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000151.62
GO:0005267,Molecular Function,potassium channel activity,evm.model.tig082700000151.62
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000151.62
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.66
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.66
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000151.66
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.66
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.66
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000151.67
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.67
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000151.67
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.67
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000151.67
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.67
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.67
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000151.67
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.7
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.7
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.7
GO:0030544,Molecular Function,Hsp70 protein binding,evm.model.tig082700000151.71
GO:0051879,Molecular Function,Hsp90 protein binding,evm.model.tig082700000151.71
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000151.72
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000151.76
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000151.76
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000151.76
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000151.78
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.78
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000151.78
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.8
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.8
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.80
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.80
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000151.80
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000151.80
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.80
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000151.80
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000151.80
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.83
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.83
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.83
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.83
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000151.83
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000151.83
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.83
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.83
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000151.83
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000151.83
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.84
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.84
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.84
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.84
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000151.84
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000151.84
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.84
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000151.84
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000151.84
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000151.84
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.85
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.86
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.87
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.88
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000151.89
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000151.89
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000151.89
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000151.9
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.90
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.90
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.90
GO:0008519,Molecular Function,ammonium transmembrane transporter activity,evm.model.tig082700000151.93
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.94
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.94
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.94
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000151.95
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000151.96
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000151.96
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000151.96
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000151.97
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000151.97
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000151.97
GO:0004712,Molecular Function,protein serine/threonine/tyrosine kinase activity,evm.model.tig082700000151.97
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000151.97
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000151.97
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000151.97
GO:0106310,Molecular Function,protein serine kinase activity,evm.model.tig082700000151.97
GO:0004315,Molecular Function,3-oxoacyl-[acyl-carrier-protein] synthase activity,evm.model.tig082700000151.98
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000151.98
GO:0000049,Molecular Function,tRNA binding,evm.model.tig082700000153.1
GO:0008168,Molecular Function,methyltransferase activity,evm.model.tig082700000153.1
GO:0009019,Molecular Function,tRNA (guanine-N1-)-methyltransferase activity,evm.model.tig082700000153.1
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.1
GO:0052905,Molecular Function,tRNA (guanine(9)-N(1))-methyltransferase activity,evm.model.tig082700000153.1
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.100
GO:0000287,Molecular Function,magnesium ion binding,evm.model.tig082700000153.100
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000153.100
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000153.100
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.100
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.100
GO:0008569,Molecular Function,minus-end-directed microtubule motor activity,evm.model.tig082700000153.101
GO:0045505,Molecular Function,dynein intermediate chain binding,evm.model.tig082700000153.101
GO:0051959,Molecular Function,dynein light intermediate chain binding,evm.model.tig082700000153.101
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.102
GO:0003755,Molecular Function,peptidyl-prolyl cis-trans isomerase activity,evm.model.tig082700000153.104
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000153.104
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000153.105
GO:0003755,Molecular Function,peptidyl-prolyl cis-trans isomerase activity,evm.model.tig082700000153.108
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.108
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.108
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.108
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.108
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000153.108
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000153.108
GO:0042132,Molecular Function,"fructose 1,6-bisphosphate 1-phosphatase activity",evm.model.tig082700000153.108
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000153.109
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000153.111
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000153.116
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000153.116
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.117
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000153.117
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.117
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000153.118
GO:0003735,Molecular Function,structural constituent of ribosome,evm.model.tig082700000153.118
GO:0004362,Molecular Function,glutathione-disulfide reductase (NADPH) activity,evm.model.tig082700000153.118
GO:0015035,Molecular Function,protein-disulfide reductase activity,evm.model.tig082700000153.118
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000153.118
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.118
GO:0019843,Molecular Function,rRNA binding,evm.model.tig082700000153.118
GO:0097573,Molecular Function,glutathione oxidoreductase activity,evm.model.tig082700000153.118
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000153.119
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.119
GO:0048306,Molecular Function,calcium-dependent protein binding,evm.model.tig082700000153.119
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.121
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000153.121
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000153.121
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000153.122
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000153.122
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.122
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000153.124
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000153.124
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.124
GO:0008080,Molecular Function,N-acetyltransferase activity,evm.model.tig082700000153.126
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.126
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000153.126
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.128
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.128
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000153.128
GO:0004712,Molecular Function,protein serine/threonine/tyrosine kinase activity,evm.model.tig082700000153.128
GO:0004713,Molecular Function,protein tyrosine kinase activity,evm.model.tig082700000153.128
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.128
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.128
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.128
GO:0106310,Molecular Function,protein serine kinase activity,evm.model.tig082700000153.128
GO:0000977,Molecular Function,RNA polymerase II transcription regulatory region sequence-specific DNA binding,evm.model.tig082700000153.13
GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific",evm.model.tig082700000153.13
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.13
GO:0003700,Molecular Function,DNA-binding transcription factor activity,evm.model.tig082700000153.13
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.13
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.13
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000153.132
GO:0004842,Molecular Function,ubiquitin-protein transferase activity,evm.model.tig082700000153.132
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.132
GO:0016746,Molecular Function,acyltransferase activity,evm.model.tig082700000153.132
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000153.132
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.132
GO:0061630,Molecular Function,ubiquitin protein ligase activity,evm.model.tig082700000153.132
GO:0015149,Molecular Function,hexose transmembrane transporter activity,evm.model.tig082700000153.133
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000153.133
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000153.135
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000153.137
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000153.137
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.137
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.137
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.137
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000153.139
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000153.139
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.139
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000153.139
GO:0043169,Molecular Function,cation binding,evm.model.tig082700000153.139
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.139
GO:0000977,Molecular Function,RNA polymerase II transcription regulatory region sequence-specific DNA binding,evm.model.tig082700000153.14
GO:0000981,Molecular Function,"DNA-binding transcription factor activity, RNA polymerase II-specific",evm.model.tig082700000153.14
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.14
GO:0003700,Molecular Function,DNA-binding transcription factor activity,evm.model.tig082700000153.14
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.14
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.14
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000153.140
GO:0004722,Molecular Function,protein serine/threonine phosphatase activity,evm.model.tig082700000153.140
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.140
GO:0016791,Molecular Function,phosphatase activity,evm.model.tig082700000153.140
GO:0043169,Molecular Function,cation binding,evm.model.tig082700000153.140
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.140
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000153.142
GO:0008143,Molecular Function,poly(A) binding,evm.model.tig082700000153.143
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.143
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.145
GO:0000400,Molecular Function,four-way junction DNA binding,evm.model.tig082700000153.145
GO:0003674,Molecular Function,molecular_function,evm.model.tig082700000153.145
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000153.145
GO:0003697,Molecular Function,single-stranded DNA binding,evm.model.tig082700000153.145
GO:0005515,Molecular Function,protein binding,evm.model.tig082700000153.145
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.145
GO:0008094,Molecular Function,"ATP-dependent activity, acting on DNA",evm.model.tig082700000153.145
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.145
GO:0043015,Molecular Function,gamma-tubulin binding,evm.model.tig082700000153.145
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.146
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000153.146
GO:0004842,Molecular Function,ubiquitin-protein transferase activity,evm.model.tig082700000153.15
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.15
GO:0015165,Molecular Function,pyrimidine nucleotide-sugar transmembrane transporter activity,evm.model.tig082700000153.150
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.152
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000153.152
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.152
GO:0016874,Molecular Function,ligase activity,evm.model.tig082700000153.152
GO:0016881,Molecular Function,acid-amino acid ligase activity,evm.model.tig082700000153.152
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.152
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.154
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000153.154
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000153.154
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.154
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.155
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000153.155
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000153.155
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000153.155
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.155
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.155
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.155
GO:0016874,Molecular Function,ligase activity,evm.model.tig082700000153.155
GO:0016881,Molecular Function,acid-amino acid ligase activity,evm.model.tig082700000153.155
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.155
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000153.157
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000153.157
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.158
GO:0035091,Molecular Function,phosphatidylinositol binding,evm.model.tig082700000153.159
GO:0035091,Molecular Function,phosphatidylinositol binding,evm.model.tig082700000153.160
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000153.162
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.166
GO:0016811,Molecular Function,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",evm.model.tig082700000153.166
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.167
GO:0003746,Molecular Function,translation elongation factor activity,evm.model.tig082700000153.169
GO:0004197,Molecular Function,cysteine-type endopeptidase activity,evm.model.tig082700000153.169
GO:0004843,Molecular Function,cysteine-type deubiquitinase activity,evm.model.tig082700000153.169
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.169
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000153.169
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.169
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.169
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.169
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.170
GO:0031072,Molecular Function,heat shock protein binding,evm.model.tig082700000153.170
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.170
GO:0051082,Molecular Function,unfolded protein binding,evm.model.tig082700000153.170
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.172
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.173
GO:0008810,Molecular Function,cellulase activity,evm.model.tig082700000153.173
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.173
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000153.173
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000153.173
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.174
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.174
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000153.174
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.174
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.174
GO:0005198,Molecular Function,structural molecule activity,evm.model.tig082700000153.175
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.177
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.177
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000153.177
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.177
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.177
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.178
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.178
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000153.178
GO:0004683,Molecular Function,calmodulin-dependent protein kinase activity,evm.model.tig082700000153.178
GO:0004712,Molecular Function,protein serine/threonine/tyrosine kinase activity,evm.model.tig082700000153.178
GO:0005516,Molecular Function,calmodulin binding,evm.model.tig082700000153.178
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.178
GO:0009931,Molecular Function,calcium-dependent protein serine/threonine kinase activity,evm.model.tig082700000153.178
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.178
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.178
GO:0106310,Molecular Function,protein serine kinase activity,evm.model.tig082700000153.178
GO:0003779,Molecular Function,actin binding,evm.model.tig082700000153.18
GO:0008179,Molecular Function,adenylate cyclase binding,evm.model.tig082700000153.18
GO:0004103,Molecular Function,choline kinase activity,evm.model.tig082700000153.180
GO:0004305,Molecular Function,ethanolamine kinase activity,evm.model.tig082700000153.180
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.180
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000153.185
GO:0004180,Molecular Function,carboxypeptidase activity,evm.model.tig082700000153.187
GO:0004185,Molecular Function,serine-type carboxypeptidase activity,evm.model.tig082700000153.187
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.187
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.187
GO:0004180,Molecular Function,carboxypeptidase activity,evm.model.tig082700000153.188
GO:0004185,Molecular Function,serine-type carboxypeptidase activity,evm.model.tig082700000153.188
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.188
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.188
GO:0004418,Molecular Function,hydroxymethylbilane synthase activity,evm.model.tig082700000153.189
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.189
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.19
GO:0004180,Molecular Function,carboxypeptidase activity,evm.model.tig082700000153.190
GO:0004181,Molecular Function,metallocarboxypeptidase activity,evm.model.tig082700000153.190
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000153.190
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.190
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.190
GO:0004180,Molecular Function,carboxypeptidase activity,evm.model.tig082700000153.191
GO:0004181,Molecular Function,metallocarboxypeptidase activity,evm.model.tig082700000153.191
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000153.191
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000153.191
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000153.191
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.194
GO:0004127,Molecular Function,cytidylate kinase activity,evm.model.tig082700000153.194
GO:0004550,Molecular Function,nucleoside diphosphate kinase activity,evm.model.tig082700000153.194
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.194
GO:0009041,Molecular Function,uridylate kinase activity,evm.model.tig082700000153.194
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.194
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.194
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.194
GO:0019205,Molecular Function,nucleobase-containing compound kinase activity,evm.model.tig082700000153.194
GO:0033862,Molecular Function,UMP kinase activity,evm.model.tig082700000153.194
GO:0036430,Molecular Function,CMP kinase activity,evm.model.tig082700000153.194
GO:0036431,Molecular Function,dCMP kinase activity,evm.model.tig082700000153.194
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000153.196
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000153.196
GO:0047627,Molecular Function,adenylylsulfatase activity,evm.model.tig082700000153.196
GO:0000030,Molecular Function,mannosyltransferase activity,evm.model.tig082700000153.197
GO:0004376,Molecular Function,glycolipid mannosyltransferase activity,evm.model.tig082700000153.197
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000153.197
GO:0016757,Molecular Function,glycosyltransferase activity,evm.model.tig082700000153.197
GO:0051751,Molecular Function,"alpha-1,4-mannosyltransferase activity",evm.model.tig082700000153.197
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000153.20
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000153.20
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000153.20
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000153.20
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000153.20
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000153.20
